Model,Mean Dice,95% CI,Dice WT,Dice TC,Dice ET
cnn_4ch,0.5921,"[0.5435, 0.6386]",0.5472,0.7338,0.4953
unet_3ch_no_t1,0.7802,"[0.7278, 0.8285]",0.8629,0.7945,0.6831
unet_4ch,0.7726,"[0.7191, 0.8220]",0.8583,0.7814,0.6782
unet_flair,0.5946,"[0.5471, 0.6401]",0.8217,0.5968,0.3652
unet_flair_t1ce,0.7725,"[0.7214, 0.8198]",0.8604,0.7815,0.6755
unet_flair_t2,0.6235,"[0.5810, 0.6647]",0.8591,0.6337,0.3776
unet_t1,0.5314,"[0.4809, 0.5810]",0.6454,0.5913,0.3575
unet_t1_t1ce,0.6698,"[0.6164, 0.7198]",0.6561,0.6753,0.6781
unet_t1ce,0.7232,"[0.6697, 0.7728]",0.6997,0.7793,0.6906
unet_t2,0.6111,"[0.5645, 0.6567]",0.7749,0.6526,0.4059
