Model A,Model B,Mean A,Mean B,Mean Diff,Statistic,p-value,Significant,Interpretation
unet_3ch_no_t1,unet_4ch,0.7802,0.7726,0.0075,730.00,0.737518,False,No significant difference (p=0.7375)
unet_3ch_no_t1,unet_flair,0.7802,0.5946,0.1856,21.00,0.000000,True,unet_3ch_no_t1 is significantly better (p=0.0000)
unet_3ch_no_t1,unet_flair_t1ce,0.7802,0.7725,0.0077,619.00,0.205814,False,No significant difference (p=0.2058)
unet_3ch_no_t1,unet_flair_t2,0.7802,0.6235,0.1567,28.00,0.000000,True,unet_3ch_no_t1 is significantly better (p=0.0000)
unet_3ch_no_t1,unet_t1,0.7802,0.5314,0.2488,0.00,0.000000,True,unet_3ch_no_t1 is significantly better (p=0.0000)
unet_3ch_no_t1,unet_t1_t1ce,0.7802,0.6698,0.1103,51.00,0.000000,True,unet_3ch_no_t1 is significantly better (p=0.0000)
unet_3ch_no_t1,unet_t1ce,0.7802,0.7232,0.0570,197.00,0.000002,True,unet_3ch_no_t1 is significantly better (p=0.0000)
unet_3ch_no_t1,unet_t2,0.7802,0.6111,0.1690,30.00,0.000000,True,unet_3ch_no_t1 is significantly better (p=0.0000)
unet_4ch,unet_flair,0.7726,0.5946,0.1781,13.00,0.000000,True,unet_4ch is significantly better (p=0.0000)
unet_4ch,unet_flair_t1ce,0.7726,0.7725,0.0001,680.00,0.450808,False,No significant difference (p=0.4508)
unet_4ch,unet_flair_t2,0.7726,0.6235,0.1492,36.00,0.000000,True,unet_4ch is significantly better (p=0.0000)
unet_4ch,unet_t1,0.7726,0.5314,0.2412,0.00,0.000000,True,unet_4ch is significantly better (p=0.0000)
unet_4ch,unet_t1_t1ce,0.7726,0.6698,0.1028,61.00,0.000000,True,unet_4ch is significantly better (p=0.0000)
unet_4ch,unet_t1ce,0.7726,0.7232,0.0494,242.00,0.000010,True,unet_4ch is significantly better (p=0.0000)
unet_4ch,unet_t2,0.7726,0.6111,0.1615,56.00,0.000000,True,unet_4ch is significantly better (p=0.0000)
unet_flair,unet_flair_t1ce,0.5946,0.7725,-0.1779,18.00,0.000000,True,unet_flair_t1ce is significantly better (p=0.0000)
unet_flair,unet_flair_t2,0.5946,0.6235,-0.0289,384.00,0.001220,True,unet_flair_t2 is significantly better (p=0.0012)
unet_flair,unet_t1,0.5946,0.5314,0.0632,320.00,0.000163,True,unet_flair is significantly better (p=0.0002)
unet_flair,unet_t1_t1ce,0.5946,0.6698,-0.0753,321.00,0.000169,True,unet_t1_t1ce is significantly better (p=0.0002)
unet_flair,unet_t1ce,0.5946,0.7232,-0.1286,163.00,0.000000,True,unet_t1ce is significantly better (p=0.0000)
unet_flair,unet_t2,0.5946,0.6111,-0.0166,617.00,0.199871,False,No significant difference (p=0.1999)
unet_flair_t1ce,unet_flair_t2,0.7725,0.6235,0.1490,26.00,0.000000,True,unet_flair_t1ce is significantly better (p=0.0000)
unet_flair_t1ce,unet_t1,0.7725,0.5314,0.2411,0.00,0.000000,True,unet_flair_t1ce is significantly better (p=0.0000)
unet_flair_t1ce,unet_t1_t1ce,0.7725,0.6698,0.1027,66.00,0.000000,True,unet_flair_t1ce is significantly better (p=0.0000)
unet_flair_t1ce,unet_t1ce,0.7725,0.7232,0.0493,194.00,0.000001,True,unet_flair_t1ce is significantly better (p=0.0000)
unet_flair_t1ce,unet_t2,0.7725,0.6111,0.1613,54.00,0.000000,True,unet_flair_t1ce is significantly better (p=0.0000)
unet_flair_t2,unet_t1,0.6235,0.5314,0.0921,142.00,0.000000,True,unet_flair_t2 is significantly better (p=0.0000)
unet_flair_t2,unet_t1_t1ce,0.6235,0.6698,-0.0464,469.00,0.011671,True,unet_t1_t1ce is significantly better (p=0.0117)
unet_flair_t2,unet_t1ce,0.6235,0.7232,-0.0997,220.00,0.000004,True,unet_t1ce is significantly better (p=0.0000)
unet_flair_t2,unet_t2,0.6235,0.6111,0.0123,570.00,0.093795,False,No significant difference (p=0.0938)
unet_t1,unet_t1_t1ce,0.5314,0.6698,-0.1384,127.00,0.000000,True,unet_t1_t1ce is significantly better (p=0.0000)
unet_t1,unet_t1ce,0.5314,0.7232,-0.1918,19.00,0.000000,True,unet_t1ce is significantly better (p=0.0000)
unet_t1,unet_t2,0.5314,0.6111,-0.0797,232.00,0.000007,True,unet_t2 is significantly better (p=0.0000)
unet_t1_t1ce,unet_t1ce,0.6698,0.7232,-0.0534,392.00,0.002545,True,unet_t1ce is significantly better (p=0.0025)
unet_t1_t1ce,unet_t2,0.6698,0.6111,0.0587,412.00,0.002704,True,unet_t1_t1ce is significantly better (p=0.0027)
unet_t1ce,unet_t2,0.7232,0.6111,0.1121,178.00,0.000001,True,unet_t1ce is significantly better (p=0.0000)
